"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 18:12:44 PKT 2023","Wed Oct 04 18:12:44 PKT 2023","320","","Login Feature","","Unsuccessful login with valid credentials","","Unsuccessful login with valid credentials",""
"passed","Wed Oct 04 18:12:50 PKT 2023","Wed Oct 04 18:12:50 PKT 2023","110","","Login Feature","","Sorting Products","","Sorting Products",""
"passed","Wed Oct 04 18:12:55 PKT 2023","Wed Oct 04 18:13:00 PKT 2023","5102","","Login Feature","","Sorting Products","","Sorting Products",""
"passed","Wed Oct 04 18:12:44 PKT 2023","Wed Oct 04 18:12:45 PKT 2023","296","","Login Feature","","Successful login with valid credentials","","Successful login with valid credentials",""
"passed","Wed Oct 04 18:13:00 PKT 2023","Wed Oct 04 18:13:05 PKT 2023","5082","","Login Feature","","Sorting Products","","Sorting Products",""
"passed","Wed Oct 04 18:13:05 PKT 2023","Wed Oct 04 18:13:05 PKT 2023","69","","Login Feature","","Add Product to cart","","Add Product to cart",""
"passed","Wed Oct 04 18:12:45 PKT 2023","Wed Oct 04 18:12:50 PKT 2023","5279","","Login Feature","","Successful login with valid credentials","","Successful login with valid credentials",""
"passed","Wed Oct 04 18:13:06 PKT 2023","Wed Oct 04 18:13:06 PKT 2023","420","","Login Feature","","Checkout Product","","Checkout Product",""
"passed","Wed Oct 04 18:12:50 PKT 2023","Wed Oct 04 18:12:55 PKT 2023","5120","","Login Feature","","Sorting Products","","Sorting Products",""
"passed","Wed Oct 04 18:12:44 PKT 2023","Wed Oct 04 18:12:44 PKT 2023","218","","Login Feature","","Unsuccessful login with valid credentials","","Unsuccessful login with valid credentials",""
"passed","Wed Oct 04 18:13:06 PKT 2023","Wed Oct 04 18:13:06 PKT 2023","183","","Login Feature","","Logout","","Logout",""
